epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,370.982,0.38885,0.2542,0.92808,0.99865,1,0.995,0.92236,0.3821,0.19434,0.93867,0.000416,0.000416,0.000416
122,372.68,0.38592,0.26235,0.94328,0.99866,1,0.995,0.93799,0.36797,0.18635,0.93135,0.0004028,0.0004028,0.0004028
123,373.865,0.36237,0.23349,0.91774,0.99865,1,0.995,0.9327,0.3707,0.18959,0.9344,0.0003896,0.0003896,0.0003896
124,375.083,0.4032,0.26395,0.93795,0.99864,1,0.995,0.92724,0.37767,0.18642,0.93487,0.0003764,0.0003764,0.0003764
125,376.301,0.39902,0.2557,0.93168,0.99863,1,0.995,0.92622,0.37683,0.18419,0.93512,0.0003632,0.0003632,0.0003632
126,380.75,0.38376,0.25039,0.94595,0.99865,1,0.995,0.92652,0.37379,0.17525,0.94104,0.00035,0.00035,0.00035
127,386.1,0.38722,0.25703,0.94106,0.99863,1,0.995,0.92941,0.37782,0.18724,0.9478,0.0003368,0.0003368,0.0003368
128,391.854,0.38784,0.24648,0.93134,0.99866,1,0.995,0.92247,0.39011,0.19766,0.94877,0.0003236,0.0003236,0.0003236
129,397.879,0.37444,0.24414,0.91294,0.99863,1,0.995,0.93022,0.39283,0.20047,0.94124,0.0003104,0.0003104,0.0003104
130,399.971,0.37337,0.24665,0.9208,0.99864,1,0.995,0.92706,0.39029,0.19575,0.93945,0.0002972,0.0002972,0.0002972
131,401.22,0.37884,0.24478,0.92382,0.99863,1,0.995,0.93098,0.3754,0.19237,0.93286,0.000284,0.000284,0.000284
132,402.579,0.39083,0.23488,0.94565,0.99863,1,0.995,0.92598,0.37405,0.20847,0.93839,0.0002708,0.0002708,0.0002708
133,407.477,0.37127,0.25811,0.92378,0.99864,1,0.995,0.92113,0.39571,0.21476,0.95409,0.0002576,0.0002576,0.0002576
134,413.39,0.3688,0.23872,0.93272,0.99865,1,0.995,0.91989,0.4,0.19714,0.96171,0.0002444,0.0002444,0.0002444
135,418.67,0.34407,0.23122,0.90399,0.99864,1,0.995,0.92034,0.3865,0.17958,0.95334,0.0002312,0.0002312,0.0002312
136,422.544,0.36698,0.24111,0.93036,0.99865,1,0.995,0.94306,0.38367,0.17552,0.94398,0.000218,0.000218,0.000218
137,423.83,0.37254,0.25134,0.93593,0.99864,1,0.995,0.93018,0.39079,0.16995,0.9463,0.0002048,0.0002048,0.0002048
138,425.069,0.36572,0.25128,0.93197,0.99864,1,0.995,0.9315,0.40009,0.18711,0.95027,0.0001916,0.0001916,0.0001916
139,426.304,0.3533,0.2354,0.92567,0.99865,1,0.995,0.93227,0.38497,0.18907,0.94057,0.0001784,0.0001784,0.0001784
140,427.477,0.34863,0.22831,0.93192,0.99863,1,0.995,0.93415,0.37394,0.18103,0.93532,0.0001652,0.0001652,0.0001652
141,441.052,0.26024,0.20703,0.85649,0.99866,1,0.995,0.92694,0.38968,0.18659,0.94162,0.000152,0.000152,0.000152
142,442.881,0.26886,0.2081,0.82034,0.99863,1,0.995,0.90897,0.4142,0.18589,0.96323,0.0001388,0.0001388,0.0001388
143,445.066,0.27648,0.20663,0.87483,0.99862,1,0.995,0.91356,0.41719,0.18685,0.9758,0.0001256,0.0001256,0.0001256
144,446.586,0.26712,0.19919,0.86473,0.99861,1,0.995,0.92606,0.38797,0.18512,0.95576,0.0001124,0.0001124,0.0001124
145,447.998,0.26902,0.20341,0.873,0.99859,1,0.995,0.91916,0.37381,0.18657,0.94414,9.92e-05,9.92e-05,9.92e-05
146,453.29,0.26063,0.19779,0.83473,0.99856,1,0.995,0.91887,0.37154,0.18827,0.93889,8.6e-05,8.6e-05,8.6e-05
147,460.322,0.25512,0.19276,0.82771,0.99852,1,0.995,0.91817,0.37353,0.19172,0.93595,7.28e-05,7.28e-05,7.28e-05
148,466.355,0.25302,0.19978,0.81442,0.99843,1,0.995,0.91591,0.37434,0.1922,0.93408,5.96e-05,5.96e-05,5.96e-05
149,467.728,0.26302,0.20574,0.86791,0.99847,1,0.995,0.91827,0.37349,0.18927,0.9322,4.64e-05,4.64e-05,4.64e-05
150,469.039,0.24784,0.18912,0.83555,0.99845,1,0.995,0.92519,0.37256,0.186,0.93103,3.32e-05,3.32e-05,3.32e-05
